id;code;state;description;date;dependence_list
1;purple Unions monitoring;Plastic synthesize;Strategist Small Rubber Towels;ivory Lempira;invoice
2;programming;Checking Account;Buckinghamshire Row;Wyoming;CSS methodologies
3;AGP Auto Loan Account;Finland;withdrawal Forward;time-frame Ethiopia;Nebraska Internal PNG
4;synthesizing Fantastic Wooden Cheese Customer-focused;transmitter withdrawal;index Montana;Checking Account;monitor
5;Direct Table Borders;Human Gorgeous Metal Hat;scalable;National cultivate;Handcrafted transmit
6;interactive;Isle;Metrics open-source;distributed deposit;visionary
7;program;Games recontextualize Money Market Account;functionalities hard drive Lights;index Cook Islands Dobra;connecting Applications
8;transmitting Regional;Ways;Re-contextualized;Exclusive Incredible Legacy;Lane back up
9;real-time Handmade;Dynamic Salad;SMTP Buckinghamshire;Buckinghamshire Regional Unbranded;synthesize
10;Re-contextualized Generic Soft Bike;Human;Central Legacy;sticky;virtual
